@relation juices

@attribute brand {cappy,caprio,dawton,drWitt,fortuna,garden,hortex,kubus,leon,tymbark,tesco,vitellia}
@attribute package {karton,butelkaPlast,butelkaSzklana}
@attribute kind {sok,napoj,nektar}
@attribute taste {multiwitamina,ananas,mandarynka,pomaranczy,truskawkowy,jablkowy,porzeczkowy, cytrynowy,brzoskwiniowy}
@attribute vitamin {brak,a,b3,c,a_c,a_b3_c,e,a_e} 
@attribute amount numeric %l
@attribute energy numeric %kcal; na 100 ml wszystko ponizsze
@attribute carbohydrates numeric %g
@attribute price numeric %zl
@attribute tolerancy {tak,nie}

@data
cappy,butelkaPlast,napoj,multiwitamina,a_b3_c,100,46,10.8,4.69,tak
cappy,butelkaPlast,napoj,jablkowy,brak,100,33,9.0,5.71,nie
cappy,butelkaPlast,napoj,mandarynka,c,100,54,6.85,6.18,tak
cappy,butelkaPlast,napoj,pomaranczy,e,100,38,10.6,5.23,tak
cappy,butelkaPlast,sok,truskawkowy,a_b3_c,10,38,7.95,8.35,tak
cappy,karton,napoj,ananas,c,100,35,6.2,3.99,nie
cappy,karton,napoj,mandarynka,a_b3_c,200,45,7.8,5.63,nie
cappy,karton,napoj,pomaranczy,e,200,48,7.4,1.39,tak
cappy,karton,napoj,porzeczkowy,c,100,56,8.2,2.35,nie
cappy,karton,napoj,truskawkowy,a_c,50,65,10.05,7.47,nie
cappy,karton,sok,pomaranczy,c,200,60,9.75,4.11,tak
cappy,karton,napoj,pomaranczy,a_e,10,61,9.65,1.39,tak
caprio,butelkaPlast,sok,mandarynka,e,25,55,9.35,4.8,tak
caprio,butelkaPlast,sok,porzeczkowy,a_c,200,36,3.65,4,nie
caprio,karton,napoj,pomaranczy,a,10,41,6.35,7.87,nie
caprio,karton,napoj,truskawkowy,b3,150,40,10.65,5.67,tak
caprio,karton,sok,multiwitamina,brak,100,52,7.0,5.79,nie
caprio,karton,sok,multiwitamina,c,200,42,10.9,4.18,tak
caprio,karton,sok,porzeczkowy,a,75,34,10.95,3.31,nie
caprio,karton,sok,truskawkowy,a_b3_c,25,63,8.55,1.87,tak
caprio,karton,nektar,cytrynowy,e,100,66,8.2,8.03,nie
dawton,butelkaPlast,napoj,jablkowy,a,200,51,6.9,2.27,tak
dawton,butelkaPlast,napoj,mandarynka,a_c,200,41,9.9,6,nie
dawton,butelkaPlast,napoj,multiwitamina,a,100,42,10.95,3.23,tak
dawton,butelkaPlast,napoj,truskawkowy,a_b3_c,75,47,6.5,1.31,tak
dawton,butelkaPlast,napoj,truskawkowy,a_c,25,64,8.15,2.95,tak
dawton,butelkaPlast,napoj,truskawkowy,c,200,63,6.9,4.10,nie
dawton,butelkaPlast,sok,multiwitamina,e,100,39,7.55,2.83,tak
dawton,butelkaPlast,sok,porzeczkowy,a,100,55,9.4,8.91,nie
dawton,karton,napoj,ananas,b3,100,60,6.45,7.71,nie
dawton,karton,napoj,jablkowy,brak,100,43,8.35,2.19,nie
dawton,karton,napoj,porzeczkowy,a,200,38,8.1,3.87,nie
dawton,karton,sok,ananas,c,100,61,7.55,7.23,nie
dawton,karton,sok,multiwitamina,b3,200,62,6.1,5.23,tak
dawton,karton,sok,pomaranczy,a,200,63,6.6,7.43,nie
dawton,butelkaPlast,napoj,brzoskwiniowy,a_c,200,60,11.0,2.59,nie
dawton,karton,nektar,multiwitamina,e,100,35,9.9,5.55,tak
drWitt,karton,nektar,mandarynka,b3,75,34,8.8,8.67,nie
drWitt,butelkaPlast,napoj,truskawkowy,a_b3_c,200,63,9.85,7.23,nie
drWitt,karton,napoj,multiwitamina,c,100,45,8.1,7.55,tak
drWitt,karton,sok,jablkowy,c,100,36,9.0,4.59,nie
drWitt,karton,sok,mandarynka,a_c,150,34,10.35,6.83,tak
drWitt,karton,sok,truskawkowy,a_b3_c,75,52,7.1,4.43,tak
fortuna,butelkaPlast,sok,cytrynowy,brak,25,46,6.8,6.18,nie
